id,codigo_projeto,nome_projeto,programa_id,responsavel,custo_hora,data_inicio,data_fim_prevista,status
78,PRJ078,Módulo Zigbee Mesh 2,2,Gustavo Ribeiro,128.88,2024-10-13,2025-12-29,Suspenso
79,PRJ079,Firmware de Diagnóstico 2,2,Eduardo Fernandes,126.57,2024-10-05,2025-06-06,Planejamento
80,PRJ080,Módulo WiFi Bridge 2,2,Camila Batista,78.77,2024-07-05,2025-01-31,Em andamento
81,PRJ081,Placa Relé Inteligente 3,1,Marcelo Cardoso,114.83,2022-08-31,2023-03-07,Concluído
82,PRJ082,Sensor Pressão Industrial 3,2,Camila Batista,142.29,2024-11-28,2025-11-01,Suspenso
83,PRJ083,Conversor DC-DC Isolado 3,2,Thiago Nascimento,133.33,2024-07-25,2025-03-28,Suspenso
84,PRJ084,Conversor USB-Serial 3,3,Lucas Pereira,128.52,2024-08-31,2025-05-18,Em andamento
85,PRJ085,Placa Regulador Switching 3,2,Lucas Pereira,85.38,2024-09-02,2025-06-12,Em andamento
86,PRJ086,Unidade Proteção Surto 3,2,Lucas Pereira,106.12,2024-06-01,2025-09-25,Concluído
87,PRJ087,Fonte de Alimentação 24V 3,3,Gustavo Ribeiro,137.47,2024-12-25,2025-11-22,Suspenso
88,PRJ088,Placa Filtro EMI 3,3,Ana Carolina Duarte,75.44,2024-05-11,2025-06-29,Concluído
89,PRJ089,Placa Regulador Switching 3,2,Renato Barros,130.1,2024-09-30,2025-08-30,Em andamento
90,PRJ090,Sistema Alarme Vibração 3,2,Ana Carolina Duarte,77.18,2024-07-05,2025-03-21,Concluído
91,PRJ091,Módulo RF 433MHz 3,3,Roberto Nogueira,110.05,2024-11-24,2026-03-29,Em andamento
92,PRJ092,Módulo Bluetooth BLE 3,3,Tatiane Duarte,117.33,2025-01-29,2025-06-11,Planejamento
93,PRJ093,Placa Relé Inteligente 3,1,Bruno Oliveira,78.77,2022-08-17,2023-02-22,Suspenso
94,PRJ094,Circuito Medição Corrente 3,2,Juliana Costa,132.09,2024-07-01,2025-06-18,Suspenso
95,PRJ095,Módulo Aquisição de Dados 3,2,Ana Carolina Duarte,76.45,2024-10-16,2025-06-22,Planejamento
96,PRJ096,Placa Interface CAN Bus 3,2,Thiago Nascimento,146.8,2024-07-07,2025-10-02,Planejamento
97,PRJ097,Módulo Supervisor de Tensão 3,1,Marina Lopes,86.43,2022-05-16,2022-12-24,Em andamento
98,PRJ098,Unidade Proteção Surto 3,2,Camila Batista,127.46,2024-05-12,2025-06-24,Concluído
99,PRJ099,Placa Expansão GPIO 3,1,Pedro Henrique Souza,118.4,2022-03-09,2022-09-28,Concluído
100,PRJ100,Driver Motor de Passo 3,3,Lucas Pereira,119.41,2024-11-09,2025-09-28,Em andamento
